,airline_sentiment,sentiment_confidence,text,char_length,word_count
4499,negative,0.6932, i would like to ask that his bags be picked up at pit  taken to his hotel by the airport will someone contact me,132,26
4500,negative,1.0, customer service at fll bwiand pit have been terribleno one knows where his bags arehis is on a job with no clothes  gear,144,25
4501,negative,1.0, after multiple attempts i was finally able to submit them late flight last night,96,15
4502,negative,1.0, up at am and arrive to find it already cancelled flighted no options so miss my meeting you might know but dont show it,140,25
4503,neutral,0.6563, its a new day and a new chance for you to do the right thing its never too late flight to be honest,116,24
4504,negative,0.6442, darn! i bought it on the wrong device! no way to switch im sure?,79,15
4505,neutral,1.0, quick question  i bought wifi for my phone do i have to buy it again on my tablet? i have  hours left on my trip,129,28
4506,positive,0.6799, cool shot of the moon and one of your fleet ,80,12
4507,neutral,1.0, hello swa who is your poc for partnerships with nonprofit organizations in bwi area?,99,15
4508,negative,1.0, hey remember that time you lost my husbands bags? i do #filmjobnoequipment #nowarmclothes,110,14
4509,positive,1.0, looking forward to flying once again with #swa on friday! the #luv airline #dtw #mdw #tus,104,17
4510,positive,1.0, i love this airline so much! thanks so much! the service is great! the snacks are amazing! everything is outstanding thanks!!,139,22
4511,negative,1.0, you need to redeem yourself i lost respect for you tonight #lostbags #filmjobnoequipment,103,14
4512,negative,1.0, way to fuck up and lose  bags my husband has no warm clothes and no equipment #youdidit #notcool,123,20
4513,neutral,0.3569, you should have assigned seating because now my cousin  i probably cant sit together on our flight tomorrow thanks,138,21
4514,negative,1.0, wifi stays connected about the lifetime of a higgs boson,70,11
4515,neutral,1.0, forget wedding fairs how about discounts for nonprofits? we donate part of our worth every single day,116,18
4516,negative,0.6703, when will your phone agents be able to give the correct departure times for cun? when can we checkin online for international?,140,23
4517,negative,0.694, making me miss #thebachelor right now #wah,56,8
4518,neutral,0.6382, please lower my plane flight by like  bucks!! thanks #floridavacation,88,12
4519,positive,1.0, had a great flight to and from cabo last week with my family #smoothflight #frequentflyer,103,16
4520,negative,1.0, we can let #bags flutter because we charge travelers that had to change dates #fullprice and we dont let them travel,131,22
4521,positive,1.0,  on that late flightst ad makes me happy to be flying you in a few days #bethonors,101,19
4522,positive,0.6744, the fact that u see black history month  months a year is honorable! we will be an economic base for corp like u in future!,140,27
4523,neutral,0.6515, should offer cdn border towns incentive to fly since exchange rates are #hurt #customerappreciation #gaincustomers #keepem,138,17
4524,positive,0.9657, what an awesome flight dallas  ny virgin america refused bc of my childs peanut allergy but u guys didnt thanks! ,134,23
4525,negative,1.0, wont let me send a dm because they dont follow me #lovedflyingwiththem #notanymore #wrong #badpolicy,118,16
4526,neutral,1.0, reference # ,39,4
4527,negative,0.3499, your welcome it was the thoughts of nearly the entire plane,75,12
4528,neutral,1.0, do you know the reason flight # from dallas to midland was diverted to lubbock? was suppose to be direct to midland,133,23
4529,positive,1.0, in flight wifi   wifi calling makes for the best combination who doesnt love texting  feet in the air d,135,23
4530,negative,1.0, has become like every other airline #crooked i cant believe they are taking over  #shouldwearmasks #shocked,126,18
4531,negative,1.0, here is my conf #fneqm my flight was delayed for  hours while my friend waited for me on her bday please follow up,133,25
4532,negative,1.0, twitter cust svc rule  dont say if we fell short i just told u u did! # if u cant solve problem dont say anything at all!,139,29
4533,negative,1.0, disappointed in the service ive received checked in online checked my my flight status online checked in at the airport,139,21
4534,positive,1.0, great day in the air ,58,7
4535,positive,0.6594, thanks!,21,2
4536,positive,1.0, thanks for two smooth safe and fast flights! #boston #houston #luvswa ,107,13
4537,positive,1.0, i really love your customer service lou ann in phx rocks thanks sw #be ourguest,96,16
4538,neutral,0.6273,see you in atl!  congrats to our #destinationdragons winners! ready atlanta?  ,139,14
4539,neutral,1.0, if i am enrolled in the atl companion pass offer and booked  flights already before may  when can i start using the pass?,138,26
4540,negative,1.0, very disappointed in your customer service right now definitely not feeling the luv whats worse nd time this winter,135,20
4541,neutral,0.6504, will do  if you follow back i can dm that info,61,13
4542,positive,1.0, katie gate c denver international fantastic customer service helping me and  new flyers thx for amazing staff!,131,19
4543,negative,0.7104, kudos to bag handler at dtw gate  at  pm ran to keep bags from hitting ground in  degree temp! ,139,24
4544,positive,1.0, crew on flight  is awesome! tell them i sent this tweet and maybe they will give me free wifi #canthurtasking,129,22
4545,positive,1.0, thankyou ,28,3
4546,neutral,0.6696, how much is ur wifi fam,37,7
4547,neutral,0.6664,  i tried  its okay,50,7
4548,positive,1.0, happy to enter your sweepstakes again #nutsaboutsouthwest,71,8
4549,positive,1.0, thanks for the great customer service today! ,61,9
4550,neutral,0.647, is the vinyl part of the prize too?,49,9
4551,positive,1.0, beyond ready,26,3
4552,negative,1.0, when i called i was told my bag had made it to phl but still has not been delivered or any call from the delivery service,136,27
4553,neutral,0.6944, looks like brooding skies out of ont this evening ,87,11
4554,neutral,0.6404, no monkey business we luv swa!! #mdwmci #homeandreadyfornexttrip ,102,10
4555,positive,1.0, is my favorite airlines ive never had issues with them plus there crew is entertaining,104,16
4556,negative,1.0, should be a way to give voice to customers who pay for services that are not satisfactorily delivered #justsayin,127,20
4557,positive,1.0, your flight attendants are really funny!! the sass is giving me life!!! ,87,14
4558,negative,1.0, i am genuinely surprised you all dont upgrade people when you cancelled flight their flights or at least put them in a comparable spot,149,25
4559,positive,0.7047, following thank you,35,4
4560,negative,1.0, would someone please dm me the customer relations number the website has only customer service,110,16
4561,negative,1.0,  this is the second time in a row i havent received text updates about flight time change dont offer if you wont use it,138,26
4562,negative,1.0, you cancelled flightled my flight and now i am in the back of the queue and you want to charge me   for business class? stay classy,148,28
4563,negative,1.0, hope your flyers get a credit of some sort for all the delays and cancelled flightlations #shittydeal #notimpressed,129,19
4564,negative,0.66,  taylor  u gotta love swa responsiveness at the least huh?,92,12
4565,positive,1.0, its all good thanks!,36,5
4566,positive,0.6842, thank you ,26,4
4567,negative,1.0, now you love me? after taking my money and only taking me halfway home sorry too late flight,108,19
4568,negative,0.3519, oh ok!  all good!  looking forward to escaping the cold for a bit!  thanks!,90,15
4569,negative,1.0, wifi is so slow! what is the point having one if cant get on the internet?! ugh,97,18
4570,neutral,1.0, i have a few questions about flying with my maltese puppy can you dm me?,87,16
4571,neutral,0.7273, any word when the customer relations department will open back up?,80,12
4572,neutral,0.675, can you tell me if flight  from mdwfll tomorrow  is at full capacity?  im hoping for a little bit of extra room! ,139,26
4573,neutral,0.6774,  just left there  friday!,39,5
4574,positive,1.0, oh no worries just have never seen that before until today i meanit is a great card ,102,19
4575,positive,1.0, thank you thank you thank you!!! my last attempt to win #destinationdragons tickets was a success! i could not be happier!! ,140,23
4576,positive,1.0, flight  phx to lax wheels stop  glad to be home!  thanks to the professionals both up front and in the cabin!!!,133,23
4577,positive,0.35, eyes next steps for improving #inflight #wifi  runway girl ,96,12
4578,neutral,0.6809, could you maybe hook   with some imagine dragon tickets tonight! shes a hugeeeee fan  would really love to go,144,23
4579,negative,1.0, hasnt evennotified us that theflight isdelayed via emailtextphone callif we wererunning late flight i would be pissed #unreliable,147,19
4580,negative,1.0, can tweet through the weekend bad weather but closes down customer relations center to process refunds for cancelled flighted flights,150,21
4581,negative,1.0, stop cancelled flighting my flight i have us history tests to take and chemistry things to learn do you not understand!!!!!!!!!,141,22
4582,positive,1.0, mdw  san flt  attendant melissa was awesome! fast smiling great after weather cancelled flight day b it was welcome,144,22
4583,negative,0.6437, been all up and down the area where the pic was taken and dont see any albums,93,18
4584,neutral,0.661, i enjoyed a call from my good friend hes flight booking problems his flights elsewhere as i tweet one at a time i will tell as many as i can,155,31
4585,positive,1.0, thank you great customer service so far accidents happen i understand hopefully everything works out,118,16
4586,negative,1.0, my question is this whats up with the crazy boarding procedure? does the confusion prevent fistfights over the good seats?,138,21
4587,neutral,1.0, opened online applications for fall  intern positions throughout the company  apply via ,130,15
4588,neutral,0.6804, honesty should always be the policy,49,7
4589,positive,0.7047, thanks for the quick response should i call daily it wait the  days,84,15
4590,neutral,1.0, i knew i was correct! ,58,7
4591,neutral,1.0, briughy me to  #aif  so much more with the #agcommunity,90,13
4592,neutral,1.0, any deals to orlando in aprilmay??,49,7
4593,neutral,0.6838, #magazine feature desk plants increase productivity by  #luvswa #healthbenefitsofplants #gardening ,140,13
4594,neutral,0.6874, new marketing song?  let us know what you think? ,108,12
4595,negative,1.0, prove it cuz the southwest people here dont even know why its behind schedule,95,15
4596,positive,1.0, seeing your workers time in and time out going above and beyond is why i love flying with you guys thank you!,124,23
4597,negative,1.0, u were bae until u lost both of my bags and had no clue where they were or what happened to them for  hours ,126,27
4598,negative,1.0, prove it,22,3
4599,positive,1.0, travel agent darrel here at love field hosting a paper airplane contest to entertain all the children was so awesome to see!,138,23
4600,positive,1.0, big kudos to your staff today at dallas love field for lifting everyones spirits today with all the delays and cancelled flightlations,149,23
4601,positive,1.0, its not fun having a delay from nashville to las vegas but the crew at the gate c desk has been awesome! #patience #luvswa,139,25
4602,negative,1.0, thinks that a  voucher makes up for spending  hrs on a plane and landing at the same airport we took off from really?,137,26
4603,positive,1.0,never got to the strip that fast before stoked for special  show tonight! thx again ! ,137,18
4604,negative,0.6959, the problem is apologies dont help results matter and its proving impossible to find anyone who is interested in that,135,21
4605,neutral,0.6634, no fare giving out clues  in route now,54,9
4606,positive,0.6481, telling my fam in vegas now ,45,8
4607,neutral,1.0, how many tickets are left?,40,6
4608,positive,0.6413, thank you!,24,3
4609,negative,0.6641, is new #mkt strategy to be average like all the rest? #whathappend? rr points devalued again ,132,18
4610,negative,0.622, do these scavenger hunt  locations have anything in common because im playing detective trying to figure out the one for atl,140,22
4611,neutral,0.6774, why do you have to be  ,40,9
4612,negative,1.0, ruined my sunday  hours of delays out of dia now my bags are at the wrong airport  to deliver them? insult to injury,139,26
4613,positive,0.6718, what can we do to bring you back to jackson ms?! we miss you terribly around here these other airlines are horrible!!,133,23
4614,neutral,0.6907, any idea why tsa precheck isnt showing for my next flight tomorrow? the number is in my profile,114,19
4615,positive,0.6591,  hours and  degree difference yes please!!  mht to mco  ,106,14
4616,negative,0.7053, sent looking for that functionality in your app though should be a one click action,101,16
4617,neutral,0.6832, still there? i was posted up in downtown waiting for yall on my way!,84,15
4618,negative,0.6888, like kelsey said really bad spot for locals do you know how long it takes to find parking then walking over to the bellagio?,140,25
4619,neutral,0.6718, are  people there?,33,5
4620,positive,1.0, looks like bellagio to me! good luck people! see you at the show at vinyl,87,16
4621,neutral,0.6804, congrats to these fans who are seeing #destinationdragons in la! slc youre next!  thanks again sw,140,18
4622,positive,0.7026, can a pair of tickets waiting for me after my sports practice? i live here and definitely know where that is! ,139,23
4623,positive,1.0, love southwest you guys have been good to me! ,83,11
4624,negative,0.6253, how about #destinationdragon tix for tonite for the inconvenience since i am not there to play scavenger hunt?,124,19
4625,neutral,0.6832, dang if only practice was an hour late flightr today,70,11
4626,neutral,0.6316, that was supposed to say boo not book booo,60,10
4627,neutral,1.0, #vegas i was there  days ago miss the  warm weather,67,12
4628,positive,0.6676, your crew on  is doing a great job of keeping everyone informed during the delays #givethemraises,115,18
4629,negative,1.0, right? were delayed so im crabby  also why do you allow one family member to purchase earlybird check in and hold rows?,138,24
4630,positive,0.677, really easy for locals to get down to the strip book,68,12
4631,neutral,0.7014, grrrrrr i need a flight there first! maybe for my bday next month,83,14
4632,positive,0.6465, luv! your new luv television commercials traveled on your airline last year return trip from nyc#feltthelove,126,17
4633,neutral,0.6637, is it possible to add travel arranged by my employer to my upcoming travel? i can retrieve a reservation but thats it,134,23
4634,neutral,0.6661,  i sent a email to customer relations and i will be calling tomorrow,83,14
4635,neutral,1.0, how do get priority seating after you already paid for the flight,79,13
4636,negative,1.0,  people pre boardedonly  needed a wheel chair off the plane was not the case boarding,108,19
4637,neutral,1.0, is it possible to add companion to only the nd leg of a trip?,76,15
4638,positive,1.0, best airline ,28,4
4639,positive,0.6912, #netneutrality nice to see you prioritize internet traffic to your own streaming service over other web sites!,124,18
4640,negative,1.0,  poor customer service displayed over the weekend during the storm i was stuck on the tarmac for  hours with no answer!,137,23
4641,neutral,1.0,  northern california coast ,63,5
4642,neutral,1.0, hi guys do you have a general enquires email address please? thanks david,89,14
4643,neutral,1.0, watching planes do their thing ,68,7
4644,positive,1.0, thanks for getting us to paradise safely! ,78,9
4645,negative,1.0, feeling very frustrated that i bought wifi onboard and cant load an email,89,14
4646,neutral,1.0, continues to prove to be the best airlines ,58,10
4647,positive,0.3476, just go ahead and start the scavenger hunt after  pm today when work is over  #destinationdragons,114,19
4648,negative,1.0, why do you let one person board with early bird and save seats for entire party? #notcool #flight,115,19
4649,neutral,0.3591, thanks!!,22,2
4650,positive,1.0, awesome staff at the  check in desk! they had a paper airplane race for a sw gift card to keep ppl entertained during delays,138,25
4651,negative,1.0, but when do i get my gin  tonic !?!?,55,11
4652,negative,1.0, is this a sick joke? #toyingwithouremotions,57,7
4653,negative,1.0,  please explain to me why every other flight to dallas is going out today except the  pm?????,112,20
4654,negative,1.0, will continue to be my airline of choice  most frustrating travel day ive experienced  delays and  gate changes?!,140,22
4655,positive,1.0, just got a call apologizing personally for the long waits last week trying to rebook flights class act i appreciate that!,137,22
4656,negative,1.0,  serious potential for a wanna get away commercial out of this debacle  but for real you should fire ,139,21
4657,negative,1.0, i appreciate the response but the constant changing of the flight time is frustrating to say the least #toughtomakeplans,136,20
4658,negative,1.0, how long do we have to be delayed after boarding before we get a free drink? #gettingthirsty,106,18
4659,neutral,1.0, done sorry i thought i was already,51,8
4660,negative,1.0, i can doesnt it seem fair that if our bags need to fit under our seats we should need to fit in them?,118,24
4661,positive,1.0,  your terry is our hero! got my husband back thru security to retrieve cellphone left on plane in austin terry # u rock!,140,24
4662,negative,1.0, just wanted  change an anytime flight leaving at    phone hold  mins phone answers she says sorry  no dice,140,25
4663,negative,1.0, werent too sincere when you cancelled flighted my flight and made me drive  hours to get home,114,19
4664,positive,1.0, your terry is our hero! got my husband back thru security to retrieve cellphone left on plane in austin terry # u rock!,139,24
4665,positive,0.6953,  your terry is our hero  got my husband back thru security to retrieve his cellphone in austin terry # you rock!,135,22
4666,positive,1.0, thanks you guys are the best,43,7
4667,positive,0.676, ill stick with flying for free any where that southwest goes my son works for this wonderful company and moms fly free,135,23
4668,neutral,1.0, if only you could control the weather in las vegas ,66,12
4669,negative,1.0, pretty terrible customer service sat on hold  min then a busy signal then disconnected do all airlines have to suck?,136,22
4670,neutral,1.0, could you please tell me if there is a way to add a rr# to a flight that already took place?,106,22
4671,negative,0.6667, hooking us up and getting us to tampa after our flight was cancelled flightled this morning #grateful #businesstrip,129,19
4672,positive,1.0, love the passbook update used it the day after it was released finally!! thank you!,99,16
4673,neutral,0.6559, my ticket was booked  to cun does the arrival time reflect that cun is now on est time?,106,20
4674,negative,0.692,  yes i did i hope for an update soon need those clothes for a meeting tomorrow,107,18
4675,positive,1.0, a to the safety dos and donts announcer flight  from midway mdw to pittsburgh pit!,106,17
4676,negative,1.0, this is not a fair set up i payed for a full seat i should get access to a full seat ,124,23
4677,negative,1.0, sorry to bother you but ive been on hold for more than  hours and  minutes should i continue holding? or call back?,135,25
4678,positive,1.0, another great trip! lax   las   bna thanks so much!!!,77,13
4679,negative,1.0,  your checkin is lame for business really last seat? i have broad shoulders haha,95,15
4680,negative,0.6306, yeah theyre somewhere hopefully getting them back today just frustrated tweeting,98,12
4681,negative,1.0, completely understand act of god weatherrelate flightd cancelled flightlation but  days without reimbursement of any kind is #unacceptable,155,20
4682,negative,1.0, why so expensive to go to vegas with stops in late flight june as i can get non stop for same on competition,122,24
4683,negative,1.0, delayed twice now cancelled flightedsent complaint email yet no response  need an explanation pls #notsatisfied #smh #unhappy,145,18
4684,positive,1.0, got help from a nice lady on the phone in georgia  thank you!,76,14
4685,negative,1.0, when will the flight resume? i dons see it in the open schedule ,82,15
4686,neutral,1.0, understand the weather these kids need to get home! nice kids doing volunteer work from a ri high school please help,132,22
4687,positive,0.6334, thanks for the quick reply!  i travel a lotbut not that much lol,83,14
4688,negative,0.6598, that does sound hopeful its a very thin device so i just hope the right person found it in time,112,21
4689,negative,1.0, my bag was not shown luv did not make it to phl with me,70,15
4690,negative,1.0, i regret not flying you this morning  doesnt support business travelers #neverflyvirginforbusiness,128,14
4691,positive,0.6517, thanks i did go through these motions shortly after my flight yesterday i wonder how quickly flight attendants are notified,140,21
4692,negative,0.6665,  how many others didnt know you are stopping non stop flights to atl and from to hartford ct as of april ?,121,23
4693,neutral,0.6421, thanks lindsey any idea when ill get there?! stuck in denver and told to listen to the intercom better,122,20
4694,positive,1.0, nice touch on the passbook integration!,53,7
4695,neutral,0.6726, easy fix let the business select actually board st then board the preboards,96,14
4696,negative,1.0, a companion pass flyer to other airlines because its being abused  every airport,99,15
4697,negative,1.0, its not disappointment its a blatant disregard for your business select customers its becoming a problem thats pushing,138,19
4698,neutral,1.0, need assistance getting an extension on a flight that has expired,80,12
4699,positive,1.0, awesome thanks! you guys rock!,45,6
4700,negative,0.6634, hello remaining credits on your account will be refunded back to your credit card when you choose a lower price flight?,134,22
4701,neutral,0.6694, when can we expect customer service in dallas to be available,75,12
4702,negative,0.6404, it eventually arrived just seemed really slow ,64,9
4703,negative,1.0, my bags are on the way to chicago without me! help! i was confirmed for  flights and told there isnt room and im screwed,139,26
4704,negative,1.0, i just recieved an email from your memphis station hopefully they have my bag,92,15
4705,negative,0.6745, just landed in phl row  window cover on nsw could use some luv ,105,16
4706,positive,1.0,  thanks for adding passbook ability! hopefully we can do group passbook tickets in the future somehow,116,17
4707,negative,1.0, yep  certain it was on that flight,62,9
4708,positive,1.0, they arrived late flight but pilots got us to dia on time #impressive #outstanding #greatservice #allgood,120,17
4709,positive,0.3511, i would appreciate that  thank you,50,7
4710,negative,1.0, i never got an email confirmation for my ticket but the credit card was charged  phone wait time is crazy is there a chat?,139,25
4711,negative,1.0, res chg onlineapp no work still on hold faster for hubby to drive to airport to make change  counter #fail,124,22
4712,neutral,1.0, can my wifes rr points be transferred to my rr account?,70,12
4713,negative,0.6939, my friends from boston stuck in denver her name jane   please contact her,99,15
4714,negative,1.0, i did but no one can find the bag and we need everything in it in the next two hours,100,21
4715,negative,1.0, wasnt able to sit in my seat since the guy next to me was using it #worstflightever #ideserveareward ,139,20
4716,positive,1.0, glad to know ill be flying the luv airline tomorrow ,69,12
4717,negative,1.0, yes we did file a report and were treated rather rudely at midway baggage claim now we wait  days to get our luggage,133,25
4718,negative,1.0, i would still have my companion pass if your ridiculous airline hadnt stopped partnering with hilton hotels  genius!!!,134,20
4719,negative,0.7022, just got companion pass and trying to add companion flgt but get purchaseerrorinvalidloyaltymemberaccountstatus help!,138,15
4720,negative,0.7113, i did still havent heard a thing,49,8
4721,positive,1.0, thank you for great customer service trying to make it to san antonio and your staff and alerts have been helpful boo ice!,138,24
4722,positive,0.6859, open seating is like an open marriage theres so much love for strangers!,88,14
4723,negative,0.66, i hope this isnt a real life scene out of the movie flight ,81,15
4724,neutral,1.0,  thanksare flights operating now or cancelled flightled?,72,9
4725,neutral,1.0, we checked in right at hr mark boarding c group with kids ages  dnt want to be split what sld we do?,125,24
4726,negative,0.7119,  her name is jane and she wanted was a call ,84,13
4727,positive,1.0,  and this is why i love flying southwest excellent service and you dont take yourselves too seriously!,131,19
4728,positive,1.0,  whats even better is the price changed in the  minutes since i talked to the lady and they still honored the cheap,140,25
4729,neutral,0.6925,  helloare flights taking off from  airport this noon am supposed to travel on flight  to san antonio,137,21
4730,neutral,1.0, we invite to fallow  learn about our activitiesprevention programs of health by condomrito familywe r c,138,18
4731,neutral,0.6681, unveils  new #flights including  from #ohio ,83,10
4732,neutral,1.0, to start daily #b flights from #washington reagan to #ftlauderdale on aug #avgeek,103,14
4733,neutral,1.0, to end its daily #b flights from #washington reagan to #ftmyers on aug #avgeek,100,15
4734,neutral,1.0, to start xdaily #b flights from #orangecounty to #portland or on aug #avgeek,99,14
4735,neutral,1.0, to start daily #b flights from #columbus oh to #oakland on aug #avgeek,92,14
4736,neutral,1.0, to start xdaily #b flights from #columbus oh to #boston  on aug #avgeek,106,15
4737,negative,1.0, password reset email is incredibly slow to arrive today checked spam folder too web site says a few minutes but ? ,136,23
4738,neutral,1.0,  thank you i may have already responded but was uxzj,84,12
4739,negative,1.0, ive had terrible service in three airports in  hours glad they dont care we kind of need to be home #sellmypointssoon,137,23
4740,positive,0.6487, thanks! confirmation number just dmed appreciate any help!,73,9
4741,negative,1.0, on hold for  minno estimated answer time any help here?,76,12
4742,negative,1.0, im going to start charging you for the consistent body pat downs starting to feel like a piece of meat #punishedforflying,138,22
4743,negative,1.0, whats up with the wait times on your customer service line? tried x on fri and now ive been on for over  min,129,25
4744,neutral,0.6692, can you equip a  with flamethrowers and a snow plow?,69,12
4745,neutral,0.6424, unveils  new routes including   from #ohio  via ,96,12
4746,negative,1.0, flight  no delayed  hours  another week another delayed flight,84,12
4747,neutral,0.6648, thanks for linking to #passbook might be old news but this is my first  flight,98,17
4748,neutral,0.6776, didnt realize no clothes until at hotel  suggestions?,69,10
4749,neutral,1.0, may want to direct that to the people at  tok,71,12
4750,negative,1.0, bag in possession but no clothes in bag??,55,9
4751,negative,0.6817, youre really going to let  and  get the best of you? ,111,15
4752,negative,1.0, please get back with my about my airtran credit qvnmb i call and im being told that i will but i never get emailcall back,140,26
4753,neutral,1.0, is there a link to a site that displays any delays or cancelled flightations of flights to and from ?,131,21
4754,negative,0.6816, pleaseeee resume direct flights from fll to phl i dont want to fly with anyone else ,103,18
4755,negative,1.0, what to do when you show up to your destination with no clothes in your suitcase? #nakedmeetings #awkward,119,19
4756,neutral,1.0, are there discounts every tuesday cause im leaving fron birmingham airport to san fran next week in march sometime,128,20
4757,negative,1.0, does anyone realize that banning peanuts on a flight due to an allergic person ignores pnut oil  dust from previous flights?,144,23
4758,negative,1.0, customer service is rude and bothered by our calls has no idea what is going on and sighed heavily on the phone unbelievable,140,24
4759,negative,1.0,   hrs late flightr no human interaction ended up ing a completely new flight  so last flight out didnt sell out,147,24
4760,negative,1.0, loses baggage a day ago and still has no idea or interest in finding it? all items for new job in that bag! unacceptable,135,25
4761,neutral,1.0, how do i get a companion pass??? thanks  lin s,63,11
4762,positive,0.6675,  just sent dm thanks for your attentiveness to this matter,74,11
4763,negative,1.0, how about fixing the wifi!  rd flight where its not working  series plane so not like its an old plane,124,22
4764,negative,0.6611, # mdwsan like most flights if im watching free tv it works but wont hardly access any websites  including your own,139,23
4765,neutral,0.6404, kids on a mission trip from lasalle stranded in orlando area  they cant get back to bos or pvd till wednesday?,126,22
4766,neutral,1.0, pls help baby hannah get the life saving surgeries she requiresshe needs your helppls donatert ,134,17
4767,negative,0.6744, almost at the gate for  to sf please wait  more seconds,77,14
4768,negative,1.0, rt  paid for early bird boarding and got b  i said to lady well that system is about dead she didnt understand,140,24
4769,negative,1.0, all flights are booked  they are saying i have to wait until tomorrow,85,15
4770,neutral,0.6932, arrangements to reimburse me for the rental i had to get?,71,12
4771,positive,1.0, me on one of your planes!!! thanks for taking me arizona ! ,98,14
4772,negative,1.0, gate agent gave me wrong departure info and caused me to miss my flight and now i am on stand by! #nothappy,121,23
4773,positive,0.692,   thanks,22,2
4774,negative,1.0, my bag was lost and according to the rep they dont even know where it is please help,102,19
4775,positive,0.6923, have sent you a dm with the details thanks!,58,10
4776,positive,0.6694, thank you for the confirmation maybe people on my flight have directional dislexia,98,14
4777,neutral,0.7013, got an email confirmation of wifi purchase on a recent flight trouble is ive never flown with you ever #concerned #scam?,139,22
4778,negative,1.0,  really?  all other carriers are staffed and youve got a triple looped one and no employees in sight in okc,123,22
4779,neutral,1.0, flight  nwn departs  enroute to  ,98,10
4780,negative,1.0, thank you for cancelled flighting my flight last minute of course to #gis im now missing one full day of my trip thanks to this!,150,26
4781,neutral,1.0,   are flights going into dallas this morning?   thanks,68,9
4782,negative,1.0, you got me home over an hour and a half late flight but at least my baggage was delivered soaking wet,115,22
4783,neutral,0.6687, had to be stuck in the middle seat  ,74,11
4784,neutral,0.6922, #destinationdragons  scavenger hunt vegas be ready!!! ,106,9
4785,positive,0.6651, you know whatd be beyond awesome? a pair of tickets to the  show in atl a girl can dream #destinationdragons,139,22
4786,positive,1.0, yes i was everything worked out great,51,8
4787,positive,0.678, show me some love and a companion flightplease and thank you!,76,12
4788,negative,1.0, cancelled flightled my flight rescheduled to ewk gave me a pseudovoucher that directed me to the worst  in existence #fail,147,22
4789,positive,1.0, loved it!,23,3
4790,negative,1.0, needs to train their employees to be at lease somewhat empathetic when they lose our luggage  monika at mwa needs a pr lesson,140,24
4791,neutral,0.6489, i am in lets do this!,37,7
4792,negative,1.0, you completely let me down tonight your gate agents ambivalence is just too much how sad for you  me,125,21
4793,positive,1.0, youre my early frontrunner for best airline! #oscars,71,9
4794,neutral,0.6461,  kudos to your rep patricia at gate b this sunday morning at #chicago #midway #mdw ,126,17
4795,negative,1.0, flight cancelled flightled new flight  hours late flightr will sleep in airport tonight and cant even give me an a boarding group seat thx,157,26
4796,neutral,1.0, just reading your boarding policy were a group of  travellers with kids ranging from  is it possible to sit together?,139,23
4797,negative,1.0, youre right i do ive been traveling all day and you guys dropped the ball making for a long night,117,21
4798,negative,1.0,   customer service has been very passive in their response disappointed i have only flown sw but am rethinking,140,20
4799,negative,1.0, broke the stroller my wife and baby gate checked they told her its not their problem calling the a list preferred line now,140,24
4800,negative,1.0, is this a joke? my return flight is delayed too!  in a row! new record from you guys ,102,21
4801,negative,0.6535, nbd i was able to figure out a workaround just wanted to help got my bags less than  hours late flightr muchas grassy ass,141,26
4802,negative,1.0, luggage delivery between am? really? after i was told by midnight multiple times? why lie? crazy and bad business,131,20
4803,positive,0.7066, thx for the follow up just sent dm,50,9
4804,negative,1.0, now i dont get the common courtesy of my phone call answered either policy is bad or people should be fired #dissaponted,137,23
4805,positive,0.6549, ty for your consideration!,40,5
4806,negative,1.0, apologies are whatever please just deliver the bags like you said you would feel like employees are lying to me,128,21
4807,negative,1.0, what robot is running this account the same one that doesnt remember anything they ask same conversation over and over,136,21
4808,negative,0.6685, it was never really lost it was put on another flight with my knowledge we just werent sure what flight but i have it  ty!,140,27
4809,positive,1.0, crew of wn sansfo was brilliant! rita was hilarious i know ive been down on you before but this was a great flight,136,24
4810,negative,1.0, is not being responding to the  athletes  #notcool #southwest,92,11
4811,negative,1.0,   a whole family with a special olympic athlete here and you cant even call them? ,111,17
4812,negative,1.0, would really like my baggage from yesterday employees at akron giving me a tough time,101,16
4813,positive,1.0, thanks! very excited to see it d,47,8
4814,negative,1.0, glad you appreciate it itll be the last dollar you ever get from me thanks to your wretched customer service,125,21
4815,negative,1.0, waited  mins for baggage mdwmem and the inflight service was suspended so no drink ,105,17
4816,neutral,0.7028, yeah am flight tomorrow going to add  min extra because of the roads  snow,97,17
4817,positive,1.0, thanks for helping my mom after  wouldnt let her get on her plane in orlando! youre the best! #customerservice,139,21
4818,negative,0.6566, me again! i was just trying to rebook fare on wanna get away pricing and it disappeared in time i refreshed is this normal?,138,25
4819,neutral,1.0, i know that not everybody on flight can be st time flying but in case it is people in front deplane st not from the back?!?,140,27
4820,neutral,1.0, may i have my companion pass please,50,8
4821,positive,1.0, kudos to the crew of flight  to grr for making a very special memory for a sweet young passenger and her momma well done,140,26
4822,negative,0.3437, thank you  uxzjpaid for early bird and sat in back,69,13
4823,positive,1.0, all good beers and #oscars ar #dia,55,8
4824,neutral,0.633, yes please #companionpass,40,4
4825,negative,1.0,   minute wait for my bags just what i needed on a sunday night,91,16
4826,positive,1.0, luv my companion pass!,36,5
4827,neutral,1.0, winter weather for denver extended for tomorrow by chance? even to late flightr in the day would be super helpful,128,21
4828,negative,1.0, its ok i was supposed to be in california hrs ago,65,12
4829,negative,1.0, i need to cancelled flight one leg of a flight but cant seem to do this online been on hold on the phone for  minutes any help?,147,29
